Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Moveworks,2.1,June 2021[277],Artificial intelligence,US,
Nextdoor,2.1,May 2019[278],Social network,US,
Webflow,2.1,January 2021[279],Web development,US,
bKash,2+,November 2021[280][281],Mobile financial services,Bangladesh,Kamal Quadir
Babylon Health,2+,August 2019[282],Healthcare,UK,
Bought By Many,2+,June 2021[283],Insurance,UK,
FlixMobility,2+,August 2019[284],Transportation,Germany,
Tipalti,2+,October 2020[citation needed],Financial technology,US /  Israel,
XtalPi,2+,August 2021[285],Pharmaceuticals,China,
Hive,2,April 2021[286],Artificial intelligence,US,"Kevin Guo, Dmitriy Karpman"
Mural,2,July 2021[287],Technology,Argentina /  US,Patricio Jutard
Aiven,2,October 2021[288],Data infrastructure,Finland,
AppsFlyer,2,November 2020[289],Mobile Marketing Analytics,Israel /  US,
Beijing Weiying Technology,2,April 2016[5],"E-commerce, Movie Ticket Booking Platform",China,
BlaBlaCar,2,April 2021[290],Transportation,France,
Calm,2,December 2020[291],Digital health,US,"Michael Acton Smith, Alex Tew"
Clearco,2,April 2021[292],Financial services,Canada,
ClickHouse,2,October 2021[293],Database management,US,
Clip,2,June 2021[294],Financial technology,Mexico,
Cockroach Labs,2,January 2021[295],Database management,US,
Deliverr,2,November 2021[296],Logistics,US,
Divvy Homes,2,August 2021[297],Real estate technology,US,
Druva,2,April 2021[298],Cloud computing,India /  US,
Firstp2p,2,September 2016[5],Financial services,China,
Formlabs,2,May 2021[299],3D printing,US,
Huimin.cn,2,September 2016[129],B2B e-commerce,China,
Iterable,2,June 2021[300],Marketing,US,
Kry,2,April 2021[301][302],Healthcare,Sweden,
Meicai.cn,2,June 2016[129],"Agriculture, E-commerce",China,
Mynt,2,November 2021[303],Financial technology,Philippines
OPay,2,August 2021[304],Financial technology,Nigeria,
Oxford Nanopore Technologies,2,November 2012[305],Nanopore sequencing,UK,
StarkWare,2,November 2021[306],Blockchain,Israel,
SWORD Health,2,November 2021[307],Health,Portugal /  US [308],
Taopiaopiao,2,July 2017[129],"E-commerce, online movie ticket booking platform",China,
Trendy International Group,2,February 2012[5][309],"Fashion, Retail",China /  Hong Kong,
Unqork,2,October 2020[310],Software development,US,
Zerodha,2,May 2021[311],Financial technology,India,
Zilch,2,November 2021[312],Financial technology,UK,
Akulaku,2,February 2022[313],Fintech,Indonesia,
Avant,1.98,September 2015[5],Consumer Finance,US,
Intarcia Therapeutics,1.95,September 2016[5],Pharmaceutical,US,
ThoughtSpot,1.95,August 2019[314][315],Analytics,US,
Yinlong Group,1.95,December 2016[129],Energy,China,
Sanpower Group,1.93,March 2018[129],Holding Company,China,
Bunq,1.9,July 2021[316],Financial services,Netherlands,
CoinSwitch Kuber,1.9,October 2021[317],Cryptocurrency,India,"Ashish Singhal, Vimal Sagar Tiwari, Govind Soni"
Dfinity,1.9,August 2018[318],Cloud computing,Switzerland,
Prosper Marketplace,1.9,August 2015[5],Financial technology,US,
Musinsa,1.89,November 2019[259],Fashion,South Korea,
Apus Group,1.85,August 2017[129],Mobile internet,China,
BenevolentAI,1.85,August 2015[5],Drug discovery,UK,
Landa Digital Printing,1.8,June 2018[319],Printing,Israel,
Lightricks,1.8,September 2021[320],Software development,Israel,
NantOmics,1.8,June 2015[5],Biotechnology,US,
Orca Security,1.8,October 2021[321],Cybersecurity,Israel,
Quora,1.8,April 2017[322],Social Network,US,
Zocdoc,1.8,August 2015[5],Healthcare,US,
L&P Cosmetic,1.78,March 2018[259],Cosmetics,South Korea,
Creditas [pt],1.75,December 2020[citation needed],Financial services,Brazil
Spinny,1.75,November 2021[323],Marketplace,India,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta"
Trulioo,1.75,June 2021[324],Identity management,Canada,
Dragos,1.7,October 2021[325],Cybersecurity,US,
dutchie,1.7,March 2021[326],Cannabis,US,
Harness,1.7,June 2021[327],Software,US,Jyoti Bansal
PAX Labs,1.7,April 2019[328],Cannabis,US,
Pleo,1.7,July 2021[329],Financial technology,Denmark
Taihe Music Group,1.7,June 2018[129],,China,
Thumbtack,1.7,July 2019[330][2],,US,
Vestiaire Collective,1.7,September 2021[331],Marketplace,France,
VTEX [pt],1.7,September 2020[332],Technology,Brazil,
Wave,1.7,September 2021[333],Financial technology,Senegal /  US,
Workato,1.7,December 2020,Technology,US,
Alan,1.68,April 2021[334],Health technology,France,
GoStudent,1.67,June 2021[335],Education technology,Austria,
Hibob,1.65,October 2021[336],HR technology,Israel /   US,
Solarisbank,1.65,July 2021[337],Financial Technology,Germany,
Wayflyer,1.6,Feb 2022[338],Financial Technology,Ireland,
Afiniti,1.6,May 2017[339],Software development,US,
Aiways,1.6,April 2018[129],Electric vehicles,China,
Caocao Zhuanche,1.6,January 2018[129],,China,
Clari,1.6,March 2021[340],Software,US,
Clio,1.6,April 2021[341],Legal technology,Canada,
Cognite,1.6,May 2021,Software,Norway,
HomeLight,1.6,September 2021[342],Real estate,US,
Infinidat,1.6,October 2017[citation needed],Data storage,Israel /  US,
Judo Bank,1.6,December 2020[343],Financial services,Australia,
SafetyCulture,1.6,May 2021[344],Technology,Australia,Luke Anear
SmartHR,1.6,May 2021[345],,Japan,
Unite Us,1.6,March 2021[346],Healthcare,US,
CureFit,1.56,November 2021[347],,India,"Mukesh Bansal, Ankit Nagori"
HeartFlow,1.5+,February 2018[348],,US,
Aihuishou,1.5,January 2018[129],,China,
Andela,1.5,September 2021[349],Education,Nigeria /  US,
Culture Amp,1.5,July 2021[350],Software,Australia,
Devo Inc,1.5,October 2021[351],Software,Spain,
Gett,1.5,May 2019[352],Transportation,Israel,
ID.me,1.5,March 2021[353],Identity verification service,US,
Ledger,1.5,June 2021[354],Cryptocurrency,France,
Matillion,1.5,September 2021[355],Data analytics,UK,
MOLOCO,1.5,August 2021[356],Advertising technology,US,
Mu Sigma,1.5,February 2013[357],Management consulting,India /  US,
NextSilicon,1.5,June 2021[358],Semiconductors,Israel,
NotCo,1.5,July 2021[359],Food technology,Chile,
Podium,1.5,August 2019[360],Software,US,
Remote,1.5,July 2021[361],Software,US[362],
Spring Rain Software,1.5,June 2016[129],,China,
Starling Bank,1.5,March 2021[363],Financial technology,UK,
Tujia.com,1.5,October 2017[364][365],,China,
ZBJ.com,1.5,June 2015[129],,China,
Ascend Money,1.5,September 2021[366],Financial technology,Thailand,
Hellobike,1.47,June 2018[129],,China,
Suning Sports,1.47,July 2018[129],Holding company,China,
Koudai Gouwu,1.45,October 2014[129],,China,
M1 Finance,1.45,July 2021[367],Financial technology,US,
Zeta,1.45,May 2021[368],Financial technology,India,"Bhavin Turakhia, Ramki Gaddipati"
Away,1.4,May 2019[369],Retail,US,
Cabify,1.4,January 2018[370],Transportation,Spain,
Chargebee,1.4,April 2021[371],Financial technology,India /  US,
Deezer,1.4,January 2016[372],Music,France,
Epidemic Sound,1.4,March 2021[373],Music,Sweden,"Peer Åström, David Stenmarck, Oscar Höglund, Jan Zachrisson"
FiscalNote,1.4,May 2021[374],Data analytics,US,"Timothy Hwang, Gerald Yao, Jonathan Chen"
Five Star Finance,1.4,March 2021[375],Financial services,India,
Gupshup,1.4,April 2021[376],Messaging,India /  US,
IAD,1.4,Oct 2021[377],Real estate,France,
NetDocuments,1.4,May 2021[378],Software,US,
"Panther Labs, Inc.",1.4,December 2021[379],Computer Security,US,Jack Naglieri
Pristyn Care,1.4,December 2021[380],Health technology,India,
"QOMPLX, Inc.",1.4,March 2021[citation needed],Computer Security,US,
Rebel Foods,1.4,October 2021[381],Ghost kitchen,India,
Stash,1.4,February 2021[382],Financial technology,US,
Symphony,1.4,June 2019[383][384],Software,US,
Voyager,1.4,April 2022[385],Financial technology,Philippines,
Yotpo,1.4,March 2021[386],Marketing,Israel /  US,
RIDI,1.33,August 2021[387],E-commerce,South Korea,
Zetwerk,1.33,August 2021[388],,India,
GPClub,1.32,December 2018[259],,South Korea,
DistroKid,1.3,August 2021[389],Music,US,
ETCP,1.3,October 2016[129],,China,
Feedzai,1.3,March 2021[390],Artificial intelligence,Portugal /  US,
G2,1.3,June 2021[391],Technology,US,"Tim Handorf, Godard Abel, Matt Gorniak, Mark Myers, Mike Wheeler"
