"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Gibraltar","GIB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","59","59","59","59","59","59","59","59","59","44","44","44","44","44","44","","",
"Gambia, The","GMB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","73","73","73","73","73","73","73","73","73","73","73","73","73","73","","",
"Guinea-Bissau","GNB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207","207","207","207","207","207","207","207","48","48","48","48","48","48","48","","",
"Equatorial Guinea","GNQ","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","","",
"Greece","GRC","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","24","24","24","26","26","26","26","26","26","26","26","26","26","","",
"Grenada","GRD","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","77","77","47","47","47","47","32","32","32","32","32","32","","",
"Greenland","GRL","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","69","38","31","31","28","24","24","24","24","24","24","24","24","24","24","","",
"Guam","GUM","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","28","37","37","37","35","76","76","76","76","76","76","46","46","46","","",
"High income","HIC","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.3139534883721","76.5744680851064","68.0816326530612","63.7115384615385","59.3396226415094","53.2924528301887","45.1792452830189","42.3","38.3303571428571","36.0724137931034","36.1413793103448","35.7448275862069","38.8913793103448","36.9172413793103","36.4525423728814","36.0372881355932","","",
"Hong Kong SAR, China","HKG","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","","",
"Honduras","HND","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22","22","22","22","22","22","22","22","22","22","29","29","28.5","","",
"Heavily indebted poor countries (HIPC)","HPC","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.029411764706","128.675675675676","117.289473684211","102.736842105263","93.5526315789474","89.4473684210526","84.4210526315789","82.5789473684211","81.4210526315789","74.9473684210526","72.5","75.2820512820513","74.6410256410256","73.3846153846154","66.8461538461538","65.1923076923077","","",
"Croatia","HRV","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","956","956","398","173","173","103","103","73","73","73","73","63","48","48","48","33","","",
"Haiti","HTI","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","690","690","308","308","308","319","319","319","319","319","319","319","319","319","319","","",
"Hungary","HUN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.5","77.5","77.5","62.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","17.5","17.5","17.5","17.5","","",
"IBRD only","IBD","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.7745098039216","86.9916666666667","76.7131147540984","71.5819672131148","61.1803278688525","50.7622950819672","47.0081967213115","44.5983606557377","42.1393442622951","38.9453731343284","37.0934328358209","36.3397014925373","38.4658955223881","37.3794776119403","37.4039552238806","37.7026865671642","","",
